image,resistors,caps,transistors,nets,avg_pins_per_net
img3033,0,4,3,8,1.12
img161,1,6,7,11,1.73
img2744,2,2,4,5,1.8
img2576,4,2,2,9,1.89
img1505,0,10,0,18,1.11
img3060,5,2,0,7,1.57
img2710,0,2,3,5,1.4
img1398,0,4,0,4,1.5
img3299,0,8,3,8,1.75
img3067,0,7,5,9,1.67
img6388,4,8,4,12,1.33
img2721,2,0,4,5,1.6
img1706,5,4,2,9,2
img567,0,4,15,14,1.36
img160,4,0,0,9,1.56
img3238,0,15,2,8,2.38
img2321,0,1,2,3,1
img2577,4,2,2,8,1.62
img2583,4,2,2,10,1.8
img3032,0,4,2,6,1.33
img1557,2,2,0,9,1.22
img2742,0,4,3,5,1.6
img1791,6,12,10,31,1.39
img2326,0,0,2,2,1.5
img1906,0,2,2,4,1.25
img151,5,0,3,6,1.5
img1561,0,2,2,4,1.25
img156,3,0,8,7,1.71
img169,9,17,5,20,1.85
img1592,6,7,1,9,1.78
img3057,0,8,2,7,1.71
img3050,2,7,4,7,2.14
img2512,0,2,2,5,1
img3061,0,21,1,21,1.38
img2944,2,6,3,9,1.78
